# Branch retirement list (INFRA-388)
#
# Branches listed here are exempt from the "unmerged unique commits"
# protection in scripts/branch_cleanup.sh. Use this ONLY when a branch's
# work was superseded by an equivalent implementation that landed on main
# through a different PR, so the INFRA-383 content-containment check cannot
# see it and the branch would otherwise be protected forever.
#
# Retirement does NOT bypass:
#   - the open-PR protection (branches with an open PR are always skipped)
#   - the 24h age threshold in scheduled mode
#
# Every entry needs a justification line. The whole file is merged through
# PR review, which is the human approval for deleting "protected" branches.
# Remove entries once the branch is gone so the list stays short.
#
# Second legitimate use case (第二类合法用途): one-time validation fixture
# branches whose PR body explicitly declares Do-NOT-merge (e.g., "Do NOT merge"
# or "此 PR 不应被合并"), created solely for live validation and discarded after
# verification completes. Retirement is not limited to the single premise of
# "superseded by equivalent implementation on main". See PR #921 and PR #922
# for concrete examples: both were temporary fixtures with explicit non-merge
# declarations in their PR bodies, closed after validation without merging.
#
# Format: <branch-name> | <INFRA ref> | <evidence>

factory/infra-382-dedup-side-effect | INFRA-388 | PR #775 closed unmerged; dedup superseded by the _make_side_effect factory from PR #778 (INFRA-384), Linear INFRA-382 已完成
feat/pr-ref-gate-ci-wiring | INFRA-391 | PR #773 closed unmerged; job-level pr-ref-consistency-check wiring superseded by the step-level wiring from PR #771 (INFRA-380, merged 2026-08-17), hygiene test enforces step-level only; branch tip already merged into main content-wise via 96e083a merge-base
fix/pr-ref-regex-robustness | INFRA-401 | PR #802 closed unmerged (superseded by #803's 9-variant regex); remaining fixes (comma-separated INFRA list, None body defense) landed on main via PR #807 (debc617, INFRA-399), regression tests re-landed via the INFRA-401 PR — INFRA-398's PR #806 conflicted with #807 and was closed
fix/infra-398-branch-cleanup-tracking | INFRA-401 | PR #806 closed unmerged; its comma-list/None-body fixes + retirement entry were superseded by PR #807 (fixes) and this PR (retirement entry + regression tests), merge-tree containment check cannot see cross-implementation equivalence
fix/auto-merge-skipped-checks | INFRA-388 | PR #864 closed unmerged; SKIPPED-checks fix superseded by PR #862 (33e2b81) + #870 (2c62a2f) adding NEUTRAL alignment + any(SUCCESS) anti-fake-green; main's 12-test matrix strictly supersedes branch's 8 tests
fix/ci-injection-reconciliation | INFRA-388 | PR #850 closed as superseded; same work merged via PR #855 (b85c5e0, squash body contains all 5 of #850's commit msgs) and evolved by #857/#866/#907; all 22 branch-unique lines are older variants of evolved main lines, zero unique semantics
feat/m1-coverage-threshold-80 | INFRA-388 | PR #871 MERGED (squash 9707e3e, 2026-08-20T20:23:36Z); branch has 5 post-merge ci.yml diagnostic commits (2026-08-21 03:57-04:28 +0800) never merged, diagnostic dead-end superseded by main's evolved ci.yml
feature/f3-injection-fix | INFRA-388 | PR #999 MERGED (squash c4ff460, 2026-08-23T22:10:54Z); post-merge hygiene commit d3eb40d content landed via PR #1001/#1006
factory/INFRA-537-phase-b-terminal-posthog | INFRA-537 | PR #1002 CLOSED unmerged; superseded by PR #1006 (23c2d47) which re-implemented the work
factory/INFRA-551-sort-flag-redirect-precision | INFRA-551 | PR #1027 CLOSED unmerged; superseded by PR #1026 (272e6e9) which unified _check_redirect_targets helper as equivalent implementation
